,0
654,"We are seeking experienced Senior Clinical Coders to join our critical Health Information Services team at Pindara Private Hospital in the Gold Coast.
We have Permanent Full-time and Part-time opportunities available with hours to match your flexibility.
 
About the Role
In this critical role you will support the Manager of Health Information Services to ensure data is collected, collated and managed in line with hospital and relative legislative requirements.  You will be required to provide accurate and timely coding of diagnosis and procedures using current coding standards. 
You will be processing confidential data which is used for billing, morbidity collections, research, statistical analysis, management information systems, quality activities and casemix management including Diagnosis Related Groups (DRG) allocation.
We pride ourselves on a strong culture of continuous improvement so you will also support and participate in improvement programs relating to staff development, accreditation, compliance and department processes.
 
About You:
To be successful in this role, you will have private hospital experience, you will work effectively both within a team environment and independently as required. Your ability to maintain positive relationships and strong communication networks with all stakeholders and departments, ensuring all quality outcomes are achieved, is crucial for this role. 
You will also bring:

Clinical Coding qualifications from Health Information Management Association of Australia (HIMAA) or equivalent, or Bachelor of Applied Science (Health Information Management)
Minimum 4 years of coding experience in advanced surgical hospital
Sound and updated knowledge of ICD-10-AM 11th edition and Australian Coding Standards
Sound and updated knowledge of Medical Science and Medical Terminology
Ability and willing to take on continuing study
Knowledge and understanding of DRG and Casemix
Knowledge and understanding of current Privacy legislation  
Ability to liaise with clinicians and hospital staff about coding and documentation requirements
Excellent communication skills
Excellent prioritisation and time management skills
Proven commitment to team work

 Desirable:

Previous work experience using 3M Codefinder
Previous work experience using MEDITECH

This role requires an individual who works well independently whilst having a strong focus on achieving team goals.
 
About the Organisation 
Pindara Private Hospital is a modern 348 licensed acute care Hospital with extensive on site facilities including a 24 hour Emergency Department, 22 Operating Theatres including our Day Surgery and Endoscopy Unit, Intensive Care, Coronary Care, Oncology, Maternity and Paediatric units, Rehabilitation and Renal Dialysis, a state of the art Cardiac Catheter Laboratory / Hybrid Theatre, in-house Pharmacy, comprehensive Pathology and X-Ray including Ultrasound, CT scan, MRI and Nuclear Medicine imaging and a number of on-site consulting suites. Pindara Private Hospital has established an excellent reputation in the community for its high commitment to customer service, staff satisfaction and quality improvement. Pindara Private Hospital has established an excellent reputation in the community for its high commitment to customer service, staff satisfaction and quality improvement.
The Hospital is operated by Ramsay Health Care, a global operator of private hospitals and primary care clinics with 73 Australian sites employing over 30,000 people. Ramsay focuses on maintaining the highest standards of quality and safety, being an employer of choice, and operating its business according to The Ramsay Way [link removed] philosophy: ""People Caring for People"".
 
How to Apply
All applications must be lodged online. Please click the Apply Link below within this ad to lodge an application (applications should include CV and 2 current work-related referees). 
Our commitment to quality and safety for our patients, staff and visitors is our highest priority.  Applicants will be required to provide a current (12 months or less) National Police check prior to appointment and persons in patient contact roles will be required to provide proof of immunity to specified infectious diseases prior to commencement.
If you have any questions about this opportunity, please email Megan Peisley on PeisleyM@ramsayhealth.com.au."
655,"DevsOps EngineerWe are working in exclusive partnership with one of Australia's fastest growing FinTech businesses, Prezzee, looking to recruit an experienced DevOps Engineer for their team.  Prezzee is a digital gift card business and Australia’s largest eGift Card marketplace, rapidly expanding globally.    Our business is built around three core products, namely:  Prezzee Classic – our B2C solution that makes everyday gifting fun, easy and convenient! Prezzee Business – our B2B solution that allows businesses to send gift cards in bulk to staff and clients. Prezzee Marketplace – our integrated ‘white labeled’ gift card delivery solution where we fulfil orders for other acquiring channels.  Prezzee currently comprises a team of over 45 professionals servicing and supporting our hero product, the proprietary Prezzee Smart e-Gift Card. With this card, you can access over 130 Australian retailers like Myer, David Jones, Bunnings, Coles, The Iconic, and more. We also offer gift cards for use in the USA, NZ, and the UK. Our clients include major buy now pay later operators like Zip and Afterpay as well as corporates like QBE, HSBC, Coca-Cola Amatil, and the like. Whilst Prezzee’s original purpose was to make the giving of a gift card ‘easy’ we now see ourselves as a payment solution. Prezzee is looking to appoint an experienced DevOps Engineer to work with our Infrastructure team, developers and the Tech team to oversee releases, manage our development pipeline tools and configure and automate our infrastructure and operations processes.    It’s an exciting tech stack encompassing many AWS services, containerisation, infrastructure as code and security tools and spans multiple regions globally. There is a lot of scope to refine existing skills, develop new ones and contribute to our infrastructure roadmap and strategy.   The role will be instrumental in fulfilling the company’s FY21-23 strategic ambitions, one that is looking to disrupt the gift card and payments market globally. Prezzee was recognised as the 5th fastest growing technology company in Australia and the 55th fastest in the Asia Pacific region.    As a DevOps Engineer, it will be your role to increase ability to deliver applications and services at high velocity with stability and security; evolving and improving products using contemporary software development and infrastructure management processes to enable us as we continue to grow.       What you will do at Prezzee:       Infrastructure Management  Be a key part of the team responsible for the implementation and management of Prezzee's AWS-based infrastructure (security, networking, compute, data, etc.). Work closely with developers to improve continuous integration and deployment systems. Continuously look for ways to automate our operations and infrastructure to increase resilience, security, maintainability and efficiency. Propose and investigate solutions to improve our systems and processes by running small experiments and proof of concepts. Collaborate with the rest of the tech team in defining the overall architecture of the platform and establishing a roadmap focused on delivering tangible value.     Operations Processes:  Manage our releases, working with developers to ensure releases are successful and we continuously improve in how we bring new features to market. Manage our monitoring solution (Datadog) to facilitate infrastructure, application and service level monitoring and alerting. Maintain our configuration management system (Ansible). Deploy, patch, and manage Prezzee's self-managed tools (Metabase, Jenkins). Manage and configure various SAAS systems (including Stripe, Mailgun, Atlassian, Telesign, Xero, Sonar). Be part of the team responding to monitoring alerts and escalations outside business hours as part of a roster.     About You:     You enjoy learning new skills and challenging yourself by researching and experimenting with new services and techniques. You’re a great communicator, who leads with empathy and takes people on the journey with respect and collaboration. You can explain pros and cons of technical solutions to a non-technical audience. When you see a problem you jump in to offer solutions and see where you can help. In terms of DevOps, you know what good looks like and you strive to be best-in-class. You have a sense of urgency and genuinely see Prezzee maintaining its market leadership and position of first mover advantage. You love what you do second only to putting the customer at the front of every decision. You thrive in growth businesses – you understand the growth agenda and are able to move at pace to achieve ambitious growth plans and objectives. You are comfortable working in an environment where systems and processes have not been fully developed yet and are ready to be part of defining and implementing them. You want to help build a global business knowing this will involve, at times, long hours, much travel, lots of discussions and debates, being challenged and challenging back. You will be energetic, enthusiastic yet considered and calm under pressure. You get things done - you understand the need to achieve both company and personal goals even when they may not align from time to time. You actively promote and support a safe, healthy and secure workplace for yourself, your co- workers, team and any other person at the workplace. You comply with all work health and safety laws and regulations and the Company’s work health and safety practices and procedures.        On the Technical side, you have:     A Computer Science or Software Engineering degree or commensurate commercial experience. Extensive professional experience as DevOps/SysAdmin. Expert in (at least) one scripting language, e.g. python, ruby, (ba)sh, perl. Strong experience with AWS Multi-Account architectures and the Well Architected Framework. Strong experience with a range of AWS Services including security, networking, infrastructure and data management. Strong experience with automation technologies such as Cloud Formation and Terraform Experience with containerisation (Fargate, ECS, Docker would be an advantage). Experience administering and configuring release management and deployment automation tools (Jenkins would be an advantage). Experience with infrastructure, Logfile and APM monitoring tools (DataDog would be a bonus). Experience with SQL DBs (Postgres would be a plus). Exposure to security practices and detection / prevention services and architectures. Practical experience working in agile environments.     Benefits    At Prezzee, we are givers. Our products enable gift-giving, but we are so much more than that. Our values are the wrapping paper around our ideal shared people experiences. Our values are to give openness, give greatness, give magic, and most of all, always give a damn.     Some extra goodies  You will work alongside an experienced team who will challenge you every day (and expect you to challenge them back) We run an incentive scheme based on both company-wide targets because we are all in the same boat, as well as individual KPI’s Generous employee referral program and staff discounts Our office has a fully equipped kitchen (you are welcome to cook for the entire team whenever you want) as well as end of trip facilities for those of you that like to exercise or ride to/from work     Work-life integration and genuine flexibility is our natural norm. Health, safety, and wellbeing is important too – it always comes first. So whilst we prefer to be connected and have our people work on-site, we work hard to support Covid-19 safe work practices, also accommodating the different lifestyles of our team members so that everyone is set up for success and empowered to do their best work either in the office or at home."
656,"OUR CLIENT EDON Place Domestic and Family Violence Centre is a not-for-profit organisation. The Centre is the lead provider, access point and offers a holistic approach to domestic and family violence in Bundaberg and the North Burnett region. THE POSITION The overall purpose of this role is to be the point of contact for advice and support for women and children from a variety of culturally and linguistically diverse (CALD) backgrounds including Aboriginal and Torres Strait Islander. The position will assist clients within the Child, Family and Community Services and Domestic and Family Violence Support Services programs by providing a range of support services and assistance and referrals to women and children who have experienced or are experiencing domestic and family violence. The position’s focus is to provide Case Management, addressing issues relating to those who have experienced and witnessed domestic and family violence and homelessness. The programs support women and children who are homeless or at risk of homelessness due to domestic and family violence to obtain long term housing. KEY RESPONSIBILITIES  Be the point of contact and primary Support worker at EDON Place with community development and engagement ensuring a culturally safe space and accessibility for CALD and Aboriginal Torres Strait Women and children to access services at the centre. Provide support to all CALD clients at EDON Place including Court Support, case management, support crisis intervention and handling all Aboriginal and Torres Strait Islander referrals. Have a good understanding of DFV, its complexities and consequences, particularly as they affect Aboriginal women & children and sensitivity to their needs. Support colleagues to ensure the timely responses to women and children who have experienced domestic and family violence and who are requiring information, support, crisis intervention, case management, advocacy, and referral to other services. Provide high quality written and verbal reports of emerging practice themes, procedure and policy implications and other relevant issues. Support the maintenance of concise, accurate records, including case notes, completed forms and reports. Support the maintenance of timely accurate statistical data as required by EDON Place, Specialist Homelessness Information Platform, Queensland Homelessness Information Platform, Vacancy Capacity Management System and Online Acquittal Support Information System. Provide efficient administrative services to the organisation and coordinate support of the specialised needs of the crisis accommodation Centre such as weekly and exit property inspections, grocery orders including meals, coordinate maintenance for properties as directed. Establish effective partnerships with government and non-government agencies to promote and deliver integrated services with quality outcomes Participate in meetings and networks to advocate regarding the issues confronting women and their children who have experienced domestic and family violence Awareness of Family Law Act and knowledge of the current domestic violence legislation and its application to the procedures for obtaining Protection Orders. KEY SELECTION CRITERIA  This position is Aboriginal identified. To perform this role, it is essential that the person who holds the role be an Aboriginal or Torres Strait Islander person. It is a genuine occupational requirement under section 25 of the Anti-Discrimination Act 1991 that applicants are Aboriginal or Torres Strait Islanders. Minimum of diploma level in Community/Human Services or Social Sciences or working toward one, experience in domestic and family violence or related field; or, working towards a tertiary qualification in a relevant discipline; or, extensive experience working in a domestic violence agency or related agency. Demonstrated understanding of the effects of domestic and family violence and trauma on victims particularly those from Aboriginal and/or Torres Strait Islander and Culturally & Linguistically Diverse (CALD) backgrounds. Demonstrated experience delivering case management to women and children who have experienced domestic and family violence. Knowledge, skill, and awareness of the protection of children under the United Nations Convention on the Rights of the Child. Experience working within a team who are working with complexity in a demanding environment. KEY REQUIREMENTS  Participate in on-call duties on a roster system. Excellent written and oral communication skills. Ability to manage competing priorities and stressful situations. Must hold a current driver’s licence along with a valid Working with Children Card and undergo a Criminal Records Check prior to employment. REWARDS AND REMUNERATION: Full Time, Fixed Term / 76 hours fortnight, plus on-call as required. Social, Community, Home Care and Disability Services Industry Award (SCHADS) 2010. Community Services Worker – Level 4. HOW TO APPLY: All applications are held in the strictest confidence.  Only shortlisted candidates will be contacted. If you feel you meet the criteria and would like to apply, please send your CV with a covering letter through the apply button. DARREN SIMPSONEastCoast HR GroupP: 07 5443 6022E: darren@eastcoasthr.com.auW: www.eastcoasthr.com.au  "
657,"About the business   Lojic Institute is a not for profit behaviour support organisation working in disability, mental health, aged care, and early intervention. We are committed to the ongoing development and enrichment of life outcomes for individuals, families and communities who require or seek support.   About the role    Work as part of the Behaviour Support team to conduct behaviour and skill assessments with clients and their stakeholders to develop plans for positive behaviour change. Train, coach, mentor and support the implementation of support plans to maximise the level of fidelity of implementation of the plan. Work with a variety of clients within 40 minutes of your home base including children, adults, disabilities, autism, mental health, and aged care. Be involved in our education and training professional development services. Develop and maintain professional relationships with referral pathways, clients, families, support coordinators, and stakeholders. Keep up to date with the NDIS requirements and changes and implement services appropriately to NDIS participants.   Benefits and perks   All Lojic staff are provided with internal and external supervision by experts in behaviour analysis. Additionally, all staff are supported to undertake formal continuing education in the behavioural sciences. Staff are also supported to participate in research and attend relevant conferences. Staff receive a home office allowance and have an opportunity to do salary packaging.   Skills and experience   We are looking for someone with  a passion for working for an organisation dedicated to supporting individuals, families, and communities to enhance life outcomes and enjoy the challenge of working with a range of clients, families, staff, and leaders across a diverse suite of human service delivery fields experience and qualifications appropriate to providing positive behaviour support and other applied behaviour analysis-based interventions including excellent data analytical skills experience working with people with developmental, behavioural, and psychological needs and their families, carers and support teams.  "
658,"A reputable Pathways education provider located in the heart of Melbourne CBD is currently seeking a Digital Learning Designer to deliver the successful design and development of courses for Foundation Studies renewed curriculum for 2021. This is a full-time role to commence immediately until April 2021.  About the role As the Digital Learning Designer, you work with the new Foundation Studies Curriculum Review team and have a real impact on the review, design, and development of the Foundation Studies curriculum for 2021. You will work closely with the Curriculum Leads to scope learning requirements, design innovative solutions, and participate in content development using a variety of eLearning tools. You will also assist in the development of engaging student-centred higher-education learning experiences that are suitable for hybrid, blended and online delivery; and will provide comprehensive administration and support of the LMS (Canvas) when required. As the Digital Learning Designer – Foundation Studies, you will:  Collaborate with Curriculum Leads and subject matter experts in the development of blended study programs Develop and design shells, storyboards, and work with multimedia files and source images Digitise course materials Ensure that all digital content adheres to a standard level of design and user experience and that it supports detailed data analysis. Advise teaching staff in the creation and uploading of content to the LMS Provide Canvas administration and support as required Research instructional technologies that support teaching and learning with a focus on Learning Tool Interoperability for Canvas Provide reliable and dependable support to the Foundation Studies Curriculum Review during critical times of the curriculum review process. To be successful in this role you will have:  Tertiary qualification in Information Technology, Computer Science, Instructional Design or related field Previous experience working in digital development with a learning and teaching focus Knowledge and demonstrated skill in programming languages including HTML and CSS Excellent oral and written communication skills Current Working with Children Check or VIT Registration Please submit your application (including your resume and a one-page cover letter outlining your suitability for the role) by clicking ‘Apply for this job’. "
659,"Weigh-More Solutions (WMS) is a privately-owned small business that has been operating for 30 years and specialises in the provision and service of licensed, industrial, niche software, hardware and instruments approved by the National Measurement Institute (NMI).  We have invested significantly in specialist technicians and the development of our products, including cloud-based applications for both weighbridge and general transaction data management at manned and unmanned POS.  We have an aspirational goal to triple the size of our business in the next 5 years and need to support our multi-tiered growth strategy by growing our team.   ABOUT THE ROLE Responsibilities Your primary focus will be to provide day-to-day technical support to WMS by:  Liaising with customers, WMS weighing technicians, management, operational staff and other members of the IT team Using and maintaining WMS internal systems to track, prioritise, plan and bill work identifying and correcting customer-reported bugs in legacy software developing and integrating approved new features effectively managing and monitoring the health of the Development, Staging and Production environments providing expert input to the development of the next generation of WMS software Mandatory Skills and Education:  Completed (or in the process of completing) Bachelor's degree in Computer Science, Engineering or similar Strong team player with ability to complete tasks independently Min. 4 years commercial experience maintaining existing web- and/or mobile- and/or windows clients, including code refactoring experience Intermediate to advanced skills in C#, HTML, Asp.Net, CSS, Java, Bootstrap Relational database normalisation, optimisation, advanced replication/synchronisation using MSSQL and MySQL Experience with configuring, managing and monitoring servers, web apps, databases and loads in Azure Working in Agile development environment using tools such as Jira, DevOps, Trello Experience integrating with 3rd party applications such as Xero Experience working in the weighing or other regulated industry Strong ability to effectively manage multiple concurrent streams of work, meet deadlines and maintain a high quality of work Strong understanding of customer service Quick learner Ability to start work as early as 7:30am at our Smeaton Grange office Strong commitment to occupational health and safety Ideally have:  Experience mentoring and/or delegating tasks to junior staff Documentation and business analysis skills Reasonable proficiency with process mapping One or more of the following Microsoft certifications: MCSD, MCSA, MCP   TO APPLY: Please send your  CV and cover letter to hr@weigh-more.com.au.  Your cover letter must address the listed mandatory and ideal candidate requirements listed. Applications with no cover letter will not be accepted. Please note that candidates may be asked to undergo a technical assessment as part of the selection process.   We kindly request no unsolicited resumes or approaches from Recruitment Agencies. Weigh-More Solutions is not responsible for any fees related to unsolicited resumes"
660,"About us: We are based in Brisbane with offices in Melbourne, Philadelphia and London and are breaking new ground in customer experience and messaging. We process over 5 billion data points per month and are a great team of like-minded people who enjoy working together, with no big egos. We value team members on their skills, not their age or qualifications and work in an informal, flexible, high-energy environment. About you: You are a bright and talented software engineer who can analyse complex systems and you have a pragmatic approach to software development. You may be a recent graduate, you were top of your class and you’re going to smash our interview logic and aptitude test. You are communicative, energetic, and have a passion for continuously learning and improving. We expect you to have:   Honours or minimum Distinction level GPA in Computer Science or Software Engineering    Real experience as a Software Engineer    Contributed to open source projects   Ability to think about and explain concurrency issues, design principles and strategies   Strong skills in a modern open source language (Scala, Java, Ruby or Node.js etc).    Pragmatic approach to development – it's all about tradeoffs and time constraints   Experience shipping products   Ability to self-manage    Strong troubleshooting skills   Great communication skills  Stuff that we don't expect, but value:   UI Experience (Javascript, Angular etc)    Exposure to functional style   Experience with Play framework   MySQL and/or Elasticsearch knowledge   Experience with AWS   Experience with Docker   Experience with Jenkins  What we offer:   A clued-in, diverse environment: We have highly skilled people from all sorts of places, backgrounds and experiences – you always learn something.   Competitive remuneration  So tell us why you're the one, include all the important stuff like your GPA and your public GitHub account. Applications through Seek are preferred, but a well-worded email to jobs@otherlevels.com will also get the conversation going."
661,"Bioprocess Scientist - DSP   About Australia & New ZealandOur growing team of 1200+ employees work together to deliver world-class science products and solutions to a wide range of key markets. With commercial, manufacturing and distribution sites scattered across Australia and New Zealand, including Melbourne, Brisbane, Sydney, Auckland, Adelaide, Newcastle, and Perth. Our scope covers life sciences, specialty diagnostics, food, dairy &amp;amp; beverage, environmental &amp;amp; industrial, healthcare and analytical instruments including commercial, customer service, technical service, supply chain, finance and operations.How will you make an impact?From manufacturing of biopharmaceutical products in compliance with international quality requirements as defined by TGA, FDA, EMEA and ICH.What will you do?  Support execution of DSP unit operations (chromatography, virus inactivation, virus filtration, ultrafiltration-diafiltration and drug substance final fill) with the applicable production protocols and planning schedules, in a clean room environment under cGMP conditions. Able to contribute in their DSP functions, such as maintaining production suite, supplies, equipment, logbooks, and data, as well as closing out batch record and material reconciliation in accordance with site SOPs and policies. Perform equipment maintenance and testing related to technical skills of Bioprocess Scientist level II. Revise and author SOPs and logbooks. Adhere to Patheon cGMP Quality Management System and the Patheon EH&amp;amp;S requirements. Trained on DSP unit operations and equipment as well as maintain up to date training matrix. Execute corrective and preventive actions and support the on-time closure of deviation reports and change controls. Contribute in deviation investigations and implement lean initiatives and continuous improvements. Contribute to the transfer and understanding of specific new technologies to DSP. Support and implement new procedures and/or equipment in the OPS department in consultation with other owners and users. Communicate with supplier about issued of technical nature. How will you get here?Education  Preferably tertiary education in science or engineering based field (i.e. biopharmaceuticals manufacture, biotechnology, process technology). Experience  1 + years of relevant experience in the bio (pharmaceutical) fields or similar. Very good knowledge in cGMP environment. Knowledge, Skills, Abilities  A pro-active attitude and personal initiative is expected to identify practical problems and communicates to the responsible person. Ability to work unsupervised. Good communication, flexibility, reliability and assertiveness.   What’s in it for you?  Work in a collegial, customer focused and motivated team. Work within a strong culture of process improvement with lots of great tools. Access to global systems training and a network of highly qualified and experienced colleagues. Ongoing learning and development opportunities on the job and through our own on-line Thermo Fisher University. The Patheon Biologics site (Part of Thermo Fisher Scientific) in Brisbane manufactures many products for clinical trials and commercial applications. This implies that the production activities range from executing a totally new production run for the first time, to the routine production of a commercial batch. Due to the diversity of customers, and their associated products, the applicable processing steps are very diverse. Given the high value of the products and intermediates the Bioprocess Scientist has to be capable of judging the possible impact of a situation on product quality, yield, EH&amp;amp;S and cGMP compliance. Due to involvement in the timely execution of manufacturing processes, a fair amount of discipline, organisational skills and flexibility in working hours are required   Apply Online: http://thermofisher.contacthr.com/76724237"
662,"DTS Food Assurance has changed our name to BVAQ due to the acquisition by the Bureau Veritas Asure Quality Joint Venture. BVAQ are a leading partner to the Food Industry for over 60 years, supporting businesses with the widest range of analytical services and expertise within one organisation. Supporting our customers supply chain and brands, the team at BVAQ have developed robust quality systems, invested in comprehensive equipment, assets and services to ensure that our facility is a world class operation. We are seeking to appoint casual and fixed term Laboratory Analysts in our Chemistry department and Milk Analytical Services department who will be directly responsible for performing routine sample preparation and testing. The departments operate between the hours of 5.30am and 10pm, 7 days per week, including public holidays. SPECIFIC RESPONSIBILITIES:  Maintaining a safe working environment Ensuring all work practices within the area are performed to the relevant standards and procedures Maintaining good laboratory practices Applying the quality and continuous improvement system processes Using the laboratory application software Keeping the laboratory fit for purpose Operating test equipment and instruments and making limited adjustments to their controls Performing straightforward technical tasks to prepare samples, and conducting simple routine tests using manual or semi-automated techniques  Processing and interpreting data In the Milk Analytical Services department indicative preparation and testing skills used at this level include; sorting and batching samples and printing labels, start-up of microbiological tests for detection of bacteria and inhibitory assays, incubating plates, using graduated and automated pipettes, preparing working solutions, aseptic techniques In the Chemistry department indicative preparation and routine testing skills used at this level may include; Receiving, sorting and batching samples, preparation of samples for analytical testing, using balances and homogenising equipment, filtration, digestion, extraction, titration or reading absorbance etc. May include running samples and processing data in GC/HPLC. Plus any other duties as required, as matched to your competence and ability to perform. RELEVANT EDUCATION/QUALIFICATIONS & EXPERIENCE:  Experience in a laboratory environment (Essential), either during education or practical work experience. To apply for Chemistry position, understanding of Chemistry and exposure to general equipment like UV spectrometer, pH meter are essential. Preferably exposure to GC/HPLC. Certificate or Diploma in Science or related discipline Excellent written and verbal communication skills Strong customer focus Ability to prioritise work in order to meet deadlines Demonstrable attention to detail Capacity to work effectively as part of a team Demonstrable knowledge of OHS requirements within a laboratory Please provide a Cover Letter addressing the above criteria, together with your CV. Please note that these positions may require weekend work. Only applicants with the right to live and work unrestricted in Australia can be considered for this position."
663,"Are you looking for a career growth and opportunity with a company that values their people? A company that is dynamic, growing and energetic organisation offering stimulating, challenging work at the forefront of technology? If your answer is yes, then come be a part of this amazing opportunity with us. We solve the world’s toughest technology challenges. More than 100 nations rely on our employees, products and programs to help protect and connect their citizens and advance scientific discovery. Innovation and performance are at the center of everything we do. With an exciting time of growth and increased opportunities, we are seeking an experienced Cost / Schedule Analyst (CSA) Senior to join our team in Canberra, ACT.   Your responsibilities will include: The Australian Defence Force over the past decade has experienced a sharp increase in the need for distributed simulation to support collective training for combined, Joint and coalition forces. JP9711-1 addresses this need by providing simulation-as-a-service capabilities. The Schedule Analyst Senior is responsible for providing support and leadership in the establishment and maintenance for the JP9711 schedule in coordination with the US scheduling team. This includes ensuring the correct utilisation standards, processes and systems to enable the timely and accurate monitoring, reporting and performance measurement of project schedule and scope through the project execution lifecycle. This will include but not limited to:  Support the development, integration and maintenance of approved schedule baselines at the Programmatic level. Support the Contract Master Schedule and ensure appropriate integration/alignment with all other program schedules. Undertake regular schedule reviews and status updates in accordance with defined project rhythm. Ensure risk and schedule margin tasks are incorporated into schedules based on risk registers and Project Manager/CAM guidance and undertake schedule risk assessments as required Undertake Rolling Wave planning ensuring that detailed planning of Summary Planning packages is undertaken in accordance with defined Rolling Wave window. Coordinate internal and external replans and ensure appropriate approvals are obtained prior to commencing replans and prior to associated baseline updates. Support PMs and CAMs to establish, maintain and status supplementary schedules for subcontractors Maintain all documentation and databases with regards to project planning and maintenance, including data trace integrity.   About you: To be successful, you will have:  Strong computing skills including a high degree of expertise with project scheduling tools such as Microsoft Project. Complete understanding of, and advanced experience in applying principles, concepts, practices and standards of scheduling and EVM principles, in particular, Critical Path Method and Baseline Control. Experience with customer engagement. Demonstrated experience working within an engineering or project environment (preferably in the defence industry). Experience in working within a Defence/ASDEFCON scheduling environment is highly desirable.   Special Requirements:  Applicants are required to be Australian Citizens and eligible to hold & maintain CoA NV1 security clearance. Employment may be contingent on the satisfactory result of criminal and/or other background screens, which require the collection and transfer of personal information.   How we reward and support you: At Lockheed Martin we value our team and the contribution they make every day. We offer rewarding career pathways working on interesting projects that make a difference, continuous professional development and the opportunity to learn from a diverse team of talented individuals. In return we offer:  Competitive Remuneration Options for genuine work/life flexibility Membership to Destination Discounts – that saves you money on many every day purchases including supermarkets, petrol, department stores to name a few Annual flu vaccinations Salary packaging for car leasing  Lockheed Martin Australia supports Equal Employment Opportunity and Diversity in Workplace. Learn more about us, our exciting programs, our team and our proud history by visiting www.lockheedmartin.com.au"
664,"Senior Software Engineer (Full Stack, C#, .net)Cyber Security $130k-$160k + SuperSydney- Inner CityThe Senior Software Engineer’s role is to architect, design, execute, assess, and troubleshoot software programs and applications. This includes configuring, coding, developing, and documenting software specifications throughout the project life cycle. The Senior Software Engineer will also oversee system start-ups in a timely and accurate fashion, and provide support to other teams where required.ResponsibilitiesStrategy & PlanningCollaborate with analysts and designers in the development and initiation of new software programs and applications.Oversee the quality assurance of program logic, data processing, and error resolution.Develop an awareness of programming and design alternatives.Take an active role in cross-team projects when needed.Acquisition & DeploymentDirect research on emerging system, security, and application development software products, languages, and standards in support of procurement and development efforts.Interact regularly with managers, clients, vendors, and agencies to field queries and questions.Knowledge & ExperienceKnowledge of C# and the .NET stack (experience with .NET Core preferable, WPF/WinForms/ASP transferable), or ability to apply knowledge from similar high-level languages (e.g. Java)Ability to understand, interoperate with, and read code from lower-level systems developed in C/C++Knowledge of modern web development and frameworks (experience with Angular 2+ preferable, but AngularJS/React/Vue transferable)Experience of high-level cross-platform development (i.e. experience with Windows/Linux/macOS)Experience of relational database technologies (e.g. SQL Server/PostgreSQL/MySQL/etc), as well as non-relational (e.g. ElasticSearch)Personal AttributesAbility to effectively prioritize and execute tasks in a high-pressure environment is crucial.Proven analytical and problem-solving abilities.Adept at conducting research into software-related issues and products.Must be able to learn, understand, and apply new technologies.Strong written and oral communication skills.Strong interpersonal skills.A University degree in Computer Science or Information Technology"
665,"DARE is currently #recruiting for an experienced Senior #Geologist to work with well established #exploration company.  The position is instrumental in supporting a large iron ore and infrastructure project proposed for the Pilbara region, encompassing integrated mining, processing, railroad and port operations. Currently the project is in the initial stages which is centred on multiple Channel Iron Deposits located south-west of Pannawonica  As a Senior Geologist you will be responsible for planning, implementing and field supervision of exploration programmes for company's projects. Ensuring that field staff are properly trained, supervised and assessed to company procedures and regulatory standards. Management of exploration camps as registered Person In Charge (PIC) and supervision of non-exploration staff conducting fieldwork.  Long Term Contract  Great Supportive Team  Role and Responsibility :Ensure that field programs are correctly planned and implemented through consultation with the Senior Geologists.Undertake field programs as directed by the Senior Geologist.Implement approved exploration programs, inclusive of reconnaissance, resource definition drilling to ensure targets for technical integrity, budget and schedule are met or exceeded.Undertake RC and diamond drilling programs as required, inclusive of drilling contractor supervision.Accurate recording of all data and collection of samples.Supervise, as required, geophysical, geochemical, heritage and land clearing surveys.Ensure all environmental and safety incidents are reported, and where required investigated.Assist with reviewing and updating written procedures.Prepare technical reports.Review and report on results including the preparation of plans and maps.Qualifications:Bachelor’s degree in Geo-science or other related discipline combined with a minimum of 5 year's postgraduate experienceMinimum 8 year's experience in an exploration or mining geology role, preferably in an iron ore resource in addition to proven ability to work in remote locations on siteProven experience with coordinating exploration activities and managing contractors with strong organisational and time management skillsExcellent interpersonal and negotiating skills and ability to engage with key stakeholdersCurrent Senior First Aid Certificate and current 'C' Class drivers licence (or equivalent)Skills:Excellent technical ability with proven experienceExcellent communication and interpersonal skills enabling the communication of complex technical concepts to key stakeholders, peers and other audiencesSound negotiation and external/internal stakeholder management skillsAbility to facilitate buy-in coupled with strong problem solving and prioritising abilitiesDemonstrated background in creating and sustaining a positive safety cultureProven capability in implementing value improvement practices and processes to deliver fit for purpose and value capital outcomesWho are we?DARE was born in Australia and raised by major international projects. Dare began as a small recruitment agency in 1988, but soon grew beyond the imaginings of even our founders - from local roots at the start to a global network now. We're known as the ideal recruitment partner for clients who need talent and candidates wanting consistency. In fact, for a company named Dare, we're compliant, dependable and capable, but we're also bold and intrepid in our innovation, passion and enthusiasm. As an Equal Opportunity Employer, we encourage indigenous Australians, females and those who identify as members of the LGBTI community to apply. In order for your application to be considered you must be an Australian Permanent Resident or Citizen of Australia.Interested in hearing more? If this role sounds like the perfect fit for you click apply now to send a copy of your CV, preferably in Word format If you need any additional information, please contact:Tapan JoshiRecruitment Consultant - MiningEmail : tapan.joshi@dare-energy.com"
